"","search_list","AF_1000G","AF_1000G_AFR","AF_1000G_AMR","AF_1000G_EAS","AF_1000G_EUR","AF_1000G_SAS"
"1","BRCA1|BRCA2",0.0015963320156992,0.00302228722420439,0,0.00198314279415468,0.00198708346343401,0
"2","TP53",0.000798484796834975,0,0,0,0.0039702184261774,0
"3","STK11",0,0,0,0,0,0
"4","MLH1|MSH2|MSH6|PMS2",0.00876339093723466,0,0,0.0039623527329673,0.0256779403104237,0.0142636991314021
"5","APC",0.0007985625107918,0,0,0,0.00397219071258337,0
"6","MUTYH",1.80620702345813e-05,5.72185818503712e-07,2.07625287844682e-05,0.000221442743764122,8.10247065947678e-05,8.46851593963027e-05
"7","BMPR1A|SMAD4",0.0115309743920533,0.00151228711826623,0.00287976812364532,0.0449180804776003,0.0039702184261774,0.00408371085029557
"8","VHL",0,0,0,0,0,0
"9","MEN1",0,0,0,0,0,0
"10","RET",0.000399322127498269,0,0,0.00198314279415468,0,0
"11","PTEN",0.000399322127498269,0,0,0,0,0.00204394427925614
"12","RB1",0.000798484796834975,0.00302228722420439,0,0,0,0
"13","SDHD|SDHAF2|SDHC|SDHB",0.0726472212190593,0.109520517267374,0.0861063743753954,0.0039623527329673,0.0916345502273819,0.063941275333705
"14","TSC1|TSC2",0,0,0,0,0,0
"15","WT1",0,0,0,0,0,0
"16","NF2",0,0,0,0,0,0
"17","COL3A1",0.000399322127498269,0.00151228711826623,0,0,0,0
"18","FBN1|TGFBR1",0.00279245951754192,0.00151228711826623,0.00287976812364532,0.00198314279415468,0.00397219071258337,0.00408371085029557
"19","TGFBR1|TGFBR2|SMAD3",0.00598144871705597,0,0,0.0295404620181405,0,0
"20","ACTA2|MYH11",0.00239433434817549,0,0,0.00792076089695137,0,0.00408371085029557
"21","MYBPC3|GLA|TNNT2|LMNA",0.0090090811048249,0.0105551481386179,0.010042958499096,0.0128339815877629,0.00594941273423055,0.00408475420915533
"22","MYBPC3|MYH7|TNNI3|TPM1|MYL3|ACTC1|PRKAG2|GLA|MYL2",0.0117759907939162,0.0105551481386179,0.0128938052309885,0.0147916727638115,0.0118653866132576,0.00815178410436623
"23","GLA",0.00105925217500824,0,0.00144092219020175,0.000992063492063489,0,0.00204498977505108
"24","RYR2",0.000399322127498269,0,0,0,0.00198708346343401,0
"25","PKP2|DSP|DSC2|TMEM43|DSG2",0.013498426334646,0.00151228711826623,0.0057512431828447,0.00987841614523899,0.00594941273423055,0.0461820047875859
"26","KCNQ1|KCNH2|SCN5A",0.0862560109138134,0.197337788609716,0.0256498115009476,0.118900425932297,0.0196979726548483,0.00612555986299823
"27","SCN5A",0.0847950399351352,0.197337788609716,0.0228358052011984,0.11714960753817,0.0157904457473346,0.00612555986299823
"28","LDLR|APOB|PCSK9",0.0103363192871428,0.0239982851452892,0.0114735263051553,0.00593763761585164,0.00397219071258337,0.00204394427925614
"29","ATP7B",8.41305254117852e-06,5.77907349277318e-05,2.69911568018255e-05,4.92094598691928e-06,1.18572329862454e-05,0
"30","OTC",0.00344209823659081,0,0,0.00793650793650791,0,0
"31","RYR1|CACNA1S",0.0209881879747935,0.0635454219303427,0.0057512431828447,0.00198314279415468,0.00989797124480574,0.00408371085029557
