"","search_list","AF_1000G","AF_1000G_AFR","AF_1000G_AMR","AF_1000G_EAS","AF_1000G_EUR","AF_1000G_SAS"
"1","BRCA1|BRCA2",0.000786648557265623,0.00152900914685294,0.000147595709235504,0.000861666477516732,0.00086337869342501,0.000104781628280204
"2","TP53",0.000393401661066273,3.87696901500423e-05,7.38005778804229e-05,5.0834480319617e-05,0.00195843017524067,5.23921866106836e-05
"3","STK11",1.02401740389446e-05,3.87696901500423e-05,7.38005778804229e-05,5.0834480319617e-05,5.09354399733652e-05,5.23921866106836e-05
"4","MLH1|MSH2|MSH6|PMS2",0.000346974340960648,0.000155069742300062,0.000295169633977688,0.00172259048591494,0.000203726193907738,0.000209552277370628
"5","APC",1.02401740389446e-05,3.87696901500423e-05,7.38005778804229e-05,5.0834480319617e-05,5.09354399733652e-05,5.23921866106836e-05
"6","MUTYH",0.000163263719800799,3.87696901500423e-05,7.38005778804229e-05,0.000810873217515717,5.09354399733652e-05,5.23921866106836e-05
"7","BMPR1A|SMAD4",2.04802432167694e-05,7.7537877211209e-05,0.000147595709235504,0.000101666376494891,0.000101868285527718,0.000104781628280204
"8","VHL",1.02401740389446e-05,3.87696901500423e-05,7.38005778804229e-05,5.0834480319617e-05,5.09354399733652e-05,5.23921866106836e-05
"9","MEN1",1.02401740389446e-05,3.87696901500423e-05,7.38005778804229e-05,5.0834480319617e-05,5.09354399733652e-05,5.23921866106836e-05
"10","RET",0.000656060379751744,0.000618334951046018,0.00117753689178601,0.000810873217515717,5.09354399733652e-05,5.23921866106836e-05
"11","PTEN",0.000163263719800799,3.87696901500423e-05,7.38005778804229e-05,5.0834480319617e-05,5.09354399733652e-05,0.000835736252997932
"12","RB1",0.000393401661066273,0.00149029723506489,7.38005778804229e-05,5.0834480319617e-05,5.09354399733652e-05,5.23921866106836e-05
"13","SDHD|SDHAF2|SDHC|SDHB",0.000686760432975109,0.000155069742300062,0.000295169633977688,0.000963245251503042,0.00211092946677061,0.000209552277370628
"14","TSC1|TSC2",2.04802432167694e-05,7.7537877211209e-05,0.000147595709235504,0.000101666376494891,0.000101868285527718,0.000104781628280204
"15","WT1",1.02401740389446e-05,3.87696901500423e-05,7.38005778804229e-05,5.0834480319617e-05,5.09354399733652e-05,5.23921866106836e-05
"16","NF2",1.02401740389446e-05,3.87696901500423e-05,7.38005778804229e-05,5.0834480319617e-05,5.09354399733652e-05,5.23921866106836e-05
"17","COL3A1",0.000163263719800799,0.000618334951046018,7.38005778804229e-05,5.0834480319617e-05,5.09354399733652e-05,5.23921866106836e-05
"18","FBN1|TGFBR1",0.000666293835618226,7.7537877211209e-05,0.000147595709235504,0.000861666477516732,0.000101868285527718,0.00206678736536636
"19","TGFBR1|TGFBR2|SMAD3",3.07202075343627e-05,0.000116304561241787,0.000221385394467366,0.000152495688657051,0.000152798536795062,0.000157168325152224
"20","ACTA2|MYH11",0.00154603800467135,7.7537877211209e-05,0.000147595709235504,0.00471159209152183,0.000101868285527718,0.00206678736536636
"21","MYBPC3|GLA|TNNT2|LMNA",0.00365557786789239,0.00711701133888543,0.00495667882719497,0.000203322416937546,0.00211092946677061,0.000992773226882959
"22","MYBPC3|MYH7|TNNI3|TPM1|MYL3|ACTC1|PRKAG2|GLA|MYL2",0.00450238297799999,0.00730946524467846,0.00642173976937876,0.00121714700750231,0.00312482997401098,0.00203684906621404
"23","GLA",1.02401740389446e-05,3.87696901500423e-05,7.38005778804229e-05,5.0834480319617e-05,5.09354399733652e-05,5.23921866106836e-05
"24","RYR2",0.000163263719800799,3.87696901500423e-05,7.38005778804229e-05,5.0834480319617e-05,0.000812484637714106,5.23921866106836e-05
"25","PKP2|DSP|DSC2|TMEM43|DSG2",0.00627597310000483,0.000773308808304507,0.00147235895263043,0.00367376794227914,0.00177685948887629,0.0222419726027328
"26","KCNQ1|KCNH2|SCN5A",0.00606717295485348,0.00950101294381767,0.00242731406484609,0.00281452664802506,0.00412744614612193,0.00346488262362277
"27","SCN5A",0.00551364070097438,0.00942420579951853,0.00117753689178601,0.00195454433584141,0.00326688801420216,0.00336045310909117
"28","LDLR|APOB|PCSK9",0.00380442285815907,0.00363063146133669,0.00598166620583174,0.00281452664802506,0.00206009895884407,0.000940430311472729
"29","ATP7B",1.02401740389446e-05,3.87696901500423e-05,7.38005778804229e-05,5.0834480319617e-05,5.09354399733652e-05,5.23921866106836e-05
"30","OTC",1.02401740389446e-05,3.87696901500423e-05,7.38005778804229e-05,5.0834480319617e-05,5.09354399733652e-05,5.23921866106836e-05
"31","RYR1|CACNA1S",0.00124228353106437,7.7537877211209e-05,0.000147595709235504,0.000861666477516732,0.00200926586171135,0.00206678736536636
